wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,cc,max_cc,sum_locp,max_locp,sum_locm,max_locm,max_set,avg_set,no_rev,sum_chrn,max_chrn,age,countofdeveloper,ref,bug
2,0,0,7,9,1,0,7,2,2,30,0,0,0,0.5,0,0,14,1,1,0,0,0,0,0,0,0,0,0,148.85,0,0,FALSE
20,1,1,6,56,170,6,0,17,0.95215311,297,1,0,0,0.187134503,0,0,13.3,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
40,1,0,14,96,322,1,13,23,0.769230769,2260,0.947368421,3,0,0.116239316,0,0,55.025,3.15,28,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
8,1,1,24,27,16,6,21,7,0.285714286,144,1,0,0,0.3125,0,0,16.875,2.875,16,12,12,0,0,25,25,1,12,12,21.71,1,0,FALSE
2,1,0,2,18,1,1,1,2,2,157,0,0,0,0.5,0,0,77.5,1,1,0,0,0,0,0,0,0,0,0,172.14,0,0,FALSE
26,1,1,22,45,133,10,14,15,0.53,236,0,3,0,0.216783217,0,0,7.923076923,1,1,0,0,0,0,0,0,0,0,0,213,0,0,FALSE
3,0,0,2,5,3,1,1,3,2,12,0,0,0,0.666666667,0,0,3,1,1,0,0,0,0,0,0,0,0,0,115.14,0,0,FALSE
13,0,0,20,48,48,0,20,10,0.5,189,1,1,0,0.230769231,0,0,13.46153846,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
10,1,0,4,10,45,4,0,10,2,10,0,0,0,0.533333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,155.14,0,0,FALSE
24,1,0,2,54,214,0,2,1,0.967391304,748,0.708333333,0,0,0.291925466,0,0,29.16666667,1.458333333,7,0,0,0,0,0,0,0,0,0,199,0,0,FALSE
6,0,0,2,7,7,1,1,6,0.8,75,1,0,0,0.541666667,0,0,10.83333333,2.166666667,7,28,28,2,2,12,12,1,30,30,15.28,1,0,FALSE
18,1,0,8,25,81,6,2,11,0.937908497,294,0.277777778,1,0,0.274509804,0,0,14.33333333,1.333333333,3,2,2,0,0,28,28,1,2,2,15.28,1,0,TRUE
3,0,1,19,23,3,1,18,1,2,350,0,0,0,0.476190476,0,0,115.6666667,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
3,1,0,3,3,3,1,2,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,0,0,6,19,6,1,5,3,1,2623,0,0,0,0.5,0,0,654.5,1.25,2,12,2,12,7,15,5,10,24,8,24.85,7,0,TRUE
9,1,0,3,13,6,1,2,9,0.25,71,1,0,0,0.222222222,0,0,6.777777778,1.222222222,3,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
8,1,0,6,15,12,3,4,7,0.12244898,244,1,3,0,0.5625,0,0,28.625,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
15,1,0,3,16,91,3,0,15,0.928571429,74,1,0,0,0.293333333,0,0,3.466666667,1,1,0,0,0,0,0,0,0,0,0,185.14,0,0,FALSE
32,0,0,7,69,448,1,6,26,0.903225806,2424,0.75,0,0,0.201612903,0,0,74.625,1.0625,2,0,0,0,0,0,0,0,0,0,162,0,0,FALSE
2,0,0,62,62,1,2,60,1,2,183,0,0,0,0.5,0,0,90.5,1.5,2,5,2,2,1,5,3.5,4,7,3,3.57,3,0,TRUE
134,0,1,58,260,5085,31,40,53,0.916004296,3241,0.657142857,4,0,0.089542037,0,0,22.92537313,1.164179104,7,90,17,31,17,33,12,9,121,34,17.71,6,1,TRUE
9,0,1,17,31,34,2,15,6,0.958333333,512,0.666666667,0,0,0.263888889,0,0,55.55555556,1,1,0,0,0,0,0,0,0,0,0,237.71,0,0,FALSE
4,0,0,6,21,6,1,5,3,1,447,0,0,0,0.5,0,0,110.5,1.25,2,0,0,0,0,0,0,0,0,0,144,0,0,FALSE
9,0,0,4,23,8,2,2,9,0.5,190,1,1,0,0.288888889,0,0,19.88888889,1.555555556,4,0,0,0,0,0,0,0,0,0,149.14,0,0,FALSE
39,0,1,7,65,657,1,6,33,0.780701754,651,1,0,0,0.120300752,0,0,15.61538462,1.58974359,10,4,4,4,4,49,49,1,8,8,14.85,1,1,FALSE
